Hütteldorf, [4]
Ober St. Veit, [4]
Unter St. Veit, [4]
Braunschweiggasse, [4]
Hietzing, [4]
Schönbrunn, [4]
Meidling Hauptstraße, [4]
Längenfeldgasse, [4, 6]
Margaretengürtel, [4]
Pilgramgasse, [4]
Kettenbrückengasse, [4]
Karlsplatz, [1, 2, 4]
Stadtpark, [4]
Landstraße, [3, 4]
Schwedenplatz, [1, 4]
Schottenring, [2, 4]
Roßauer Lände, [4]
Friedensbrücke, [4]
Spittelau, [4, 6]
Heiligenstadt, [4]
Ottakring, [3]
Kendlerstraße, [3]
Hütteldorfer Straße, [3]
Johnstraße, [3]
Schweglerstraße, [3]
Westbahnhof, [3, 6]
Zieglergasse, [3]
Neubaugasse, [3]
Volkstheater, [3]
Herrengasse, [3]
Stephansplatz, [3]
Stubentor, [3]
Rochusgasse, [3]
Kardinal-Nagl-Platz, [3]
Schlachthausgasse, [3]
Erdberg, [3]
Gasometer, [3]
Zippererstraße, [3]
Enkplatz, [3]
Simmering, [3]
Floridsdorf, [6]
Neue Donau, [6]
Handelskai, [6]
Dresdner Straße, [6]
Jägerstraße, [6]
Nussdorfer Straße, [6]
Währinger Straße - Volksoper, [6]
Michelbeuern - AKH, [6]
Alser Straße, [6]
Josefstädter Straße, [6]
Thaliastraße, [6]
Burggasse, [6]
Gumpendorfer Straße, [6]
Niederhofstraße, [6]
Bahnhof Meidling, [6]
Tscherttegasse, [6]
Am Schöpfwerk, [6]
Alterlaa, [6]
Erlaaer Straße, [6]
Perfektastraße, [6]
Siebenhirten, [6]
Leopoldau, [1]
Großfeldsiedlung, [1]
Aderklaaer Straße, [1]
Rennbahnweg, [1]
Kagraner Platz, [1]
Kagran, [1]
Alte Donau, [1]
Kaisermühlen VIC, [1]
Donauinsel, [1]
Vorgartenstraße, [1]
Praterstern, [1, 2]
Nestroyplatz, [1]
Taubstummengasse, [1]
Südtiroler Platz - Hauptbahnhof, [1]
Keplerplatz, [1]
Reumannplatz, [1]
Seestadt, [2]
Aspern Nord, [2]
Hausfeldstraße, [2]
Aspernstraße, [2]
Donauspital, [2]
Hardeggasse, [2]
Stadlau, [2]
Donaustadtbrücke, [2]
Messe-Prater, [2]
Schottentor, [2]
Rathaus, [2]
Museumsquartier, [2]
Stadion, [2]
Taborstraße, [2]
Krieau, [2]
Donaumarina, [2]
